CompanyName, CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1, RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE, PreviousName_1.CompanyName, PreviousName_2.CONDATE, PreviousName_2.CompanyName,, PreviousName_3.CompanyName,PreviousName_4.CONDATE, PreviousName_4.CompanyName,PreviousName_5.CONDATE, PreviousName_5.CompanyName,PreviousName_6.CONDATE, PreviousName_6.CompanyName,PreviousName_7.CONDATE, PreviousName_7.CompanyName,PreviousName_8.CONDATE, PreviousName_8.CompanyName,PreviousName_9.CONDATE, PreviousName_9.CompanyName,PreviousName_10.CONDATE, PreviousName_10.CompanyName,ConfStmtNextDueDate, ConfStmtLastMadeUpDate
& NEW LIMITED,8697873,,,19 WARREN PARK WAY,ENDERBY,LEICESTER,,,LE19 4SA,Private Limited Company,Active,United Kingdom,,19-09-2013,30,9,30-06-2023,30-09-2021,TOTAL EXEMPTION FULL,17-10-2016,19-09-2015,0,0,0,0,"46470 - Wholesale of furniture, carpets and lighting equipment",,,,0,0,http://business.data.gov.uk/id/company/08697873,,,,,,,,,,,,,,,,,,,,,03-10-2023,19-09-2022
&TOGETHER LTD,12499736,,,8 HIGH STREET,,BRENTWOOD,ESSEX,UNITED KINGDOM,CM14 4AB,Private Limited Company,Active,United Kingdom,,05-03-2020,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,02-04-2021,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/12499736,03-04-2020,ANDTOGETHER LIMITED,,,,,,,,,,,,,,,,,,,18-03-2023,04-03-2022
'2=1(UK)',3137448,,,13 DROVERS WAY,SEER GREEN,BEACONSFIELD,BUCKINGHAMSHIRE,,HP9 2XF,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,13-12-1995,31,3,31-12-2022,31-03-2021,MICRO ENTITY,10-01-2017,13-12-2015,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/03137448,08-10-2007,MARRIAGE MINISTRIES INTERNATIONAL (UK),,,,,,,,,,,,,,,,,,,26-10-2023,12-10-2022
'ELC' ENGLISH COURSES LIMITED,8027318,,,61 CHURCH STREET,,WILLINGDON,EAST SUSSEX,,BN22 0HR,Private Limited Company,Active,United Kingdom,,12-04-2012,31,12,30-09-2023,31-12-2021,MICRO ENTITY,10-05-2017,12-04-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/08027318,,,,,,,,,,,,,,,,,,,,,26-04-2023,12-04-2022
'PLANE TRAINING LIMITED,4763606,,,NEWLANDS FARM,DEWHURST LANE,WADHURST,EAST SUSSEX,ENGLAND,TN5 6QE,Private Limited Company,Active,United Kingdom,,14-05-2003,31,5,28-02-2023,31-05-2021,MICRO ENTITY,15-06-2017,18-05-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/04763606,,,,,,,,,,,,,,,,,,,,,30-05-2023,16-05-2022
(3X3) ENT LIMITED,14490668,,,71-75 SHELTON STREET,COVENT GARDEN,LONDON,,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,17-11-2022,30,11,17-08-2024,,NO ACCOUNTS FILED,15-12-2023,,0,0,0,0,46420 - Wholesale of clothing and footwear,59200 - Sound recording and music publishing activities,90020 - Support activities to performing arts,90030 - Artistic creation,0,0,http://business.data.gov.uk/id/company/14490668,,,,,,,,,,,,,,,,,,,,,30-11-2023,
(A2O) ACORN TO OAK LEADERSHIP AND MANAGEMENT TRAINING SOLUTIONS LIMITED,12606821,,,11 TYLNEY CLOSE,,PLYMOUTH,,ENGLAND,PL6 6BX,Private Limited Company,Active,United Kingdom,,18-05-2020,31,5,29-02-2024,31-05-2022,MICRO ENTITY,15-06-2021,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12606821,,,,,,,,,,,,,,,,,,,,,31-05-2023,17-05-2022
(ASG) AFRICA SOURCING GROUP LTD,12333689,,,GREENWAY FARM,GOSBECK,NR IPSWICH,SUFFOLK,ENGLAND,IP6 9SG,Private Limited Company,Active,United Kingdom,,26-11-2019,30,11,31-08-2023,30-11-2021,DORMANT,24-12-2020,,0,0,0,0,46420 - Wholesale of clothing and footwear,46499 - Wholesale of household goods (other than musical instruments) n.e.c.,,,0,0,http://business.data.gov.uk/id/company/12333689,,,,,,,,,,,,,,,,,,,,,26-03-2023,12-03-2022
(B.E.S.T.) BASIC EDUCATION & SUPPLEMENTARY TEACHING ASSOCIATION,1755410,,,"2ND FLOOR, CROWN HOUSE",37 HIGH STREET,EAST GRINSTEAD,,ENGLAND,RH19 3AF,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,,22-09-1983,30,9,30-06-2023,30-09-2021,MICRO ENTITY,27-11-2016,30-10-2015,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/01755410,,,,,,,,,,,,,,,,,,,,,13-11-2023,30-10-2022
(ONCE) BLANK LTD,11958020,,,71-75 SHELTON STREET,,LONDON,GREATER LONDON,UNITED KINGDOM,WC2H 9JQ,Private Limited Company,Active,United Kingdom,,23-04-2019,30,4,31-01-2024,30-04-2022,MICRO ENTITY,21-05-2020,,0,0,0,0,85590 - Other education n.e.c.,93290 - Other amusement and recreation activities n.e.c.,96090 - Other service activities n.e.c.,,0,0,http://business.data.gov.uk/id/company/11958020,,,,,,,,,,,,,,,,,,,,,06-05-2023,22-04-2022
(THE) JERSEY HUT UK LTD,14116558,,,249 CARDIFF ROAD,,ABERDARE,,WALES,CF44 6RE,Private Limited Company,Active,United Kingdom,,18-05-2022,31,5,18-02-2024,,NO ACCOUNTS FILED,15-06-2023,,0,0,0,0,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/14116558,,,,,,,,,,,,,,,,,,,,,31-05-2023,
(UK) BUY IN TURKEY LTD,13809345,,,SUITE 306 STANMORE BUSINESS CENTRE,HOWARD ROAD,LONDON,,UNITED KINGDOM,HA7 1BT,Private Limited Company,Active,United Kingdom,,20-12-2021,31,12,20-09-2023,,NO ACCOUNTS FILED,17-01-2023,,0,0,0,0,68310 - Real estate agencies,68320 - Management of real estate on a fee or contract basis,73110 - Advertising agencies,,0,0,http://business.data.gov.uk/id/company/13809345,,,,,,,,,,,,,,,,,,,,,02-02-2023,19-01-2022
(UK) MARIA LTD,12217260,,,86C  MOOR GREEN & CO,WATER STREET,BIRMINGHAM,WEST MIDLANDS,UNITED KINGDOM,B3 1HL,Private Limited Company,Active,United Kingdom,,20-09-2019,30,9,30-06-2023,30-09-2021,MICRO ENTITY,18-10-2020,,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/12217260,,,,,,,,,,,,,,,,,,,,,06-09-2023,23-08-2022
(UK) PROPERTY POT LTD,9695690,,,10 WHARNCLIFFE ROAD,,LONDON,,ENGLAND,SE25 6SG,Private Limited Company,Active,United Kingdom,,21-07-2015,31,3,31-12-2023,31-03-2022,TOTAL EXEMPTION FULL,18-08-2016,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/09695690,,,,,,,,,,,,,,,,,,,,,03-08-2023,20-07-2022
.THEPROCESS LTD,13451021,,,142 FEN STREET,BROOKLANDS,MILTON KEYNES,,ENGLAND,MK10 7EU,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,10-06-2021,30,6,10-03-2023,,NO ACCOUNTS FILED,08-07-2022,,0,0,0,0,46420 - Wholesale of clothing and footwear,93130 - Fitness facilities,,,0,0,http://business.data.gov.uk/id/company/13451021,,,,,,,,,,,,,,,,,,,,,23-06-2022,
012 GLOBAL LTD,12217080,,,UNIT 309 LOCK STUDIOS,7 CORSICAN SQUARE,LONDON,,ENGLAND,E3 3YD,Private Limited Company,Active,United Kingdom,,20-09-2019,30,9,30-06-2023,30-09-2021,MICRO ENTITY,18-10-2020,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12217080,20-02-2020,012 GROUP LTD,,,,,,,,,,,,,,,,,,,03-12-2022,19-11-2021
0161 LETTINGS AND MANAGEMENT LIMITED,6723968,,,33 HAZELWOOD,CHADDERTON,OLDHAM,,ENGLAND,OL9 9TB,Private Limited Company,Active,United Kingdom,,15-10-2008,31,10,31-07-2023,31-10-2021,MICRO ENTITY,16-11-2016,19-10-2015,4,4,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/06723968,,,,,,,,,,,,,,,,,,,,,01-02-2023,18-01-2022
01TALENTS LTD,14362784,,,"66 LONDON ROAD, PLAISTOW",,LONDON,,UNITED KINGDOM,E13 0DD,Private Limited Company,Active,United Kingdom,,18-09-2022,30,9,18-06-2024,,NO ACCOUNTS FILED,16-10-2023,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14362784,,,,,,,,,,,,,,,,,,,,,20-10-2023,06-10-2022
027 LTD,14448983,,,NORTH PLACE,82 GREAT NORTH ROAD,HATFIELD,,ENGLAND,AL9 5BL,Private Limited Company,Active,United Kingdom,,28-10-2022,31,10,28-07-2024,,NO ACCOUNTS FILED,25-11-2023,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/14448983,,,,,,,,,,,,,,,,,,,,,10-11-2023,
03TIMES LIMITED,13918444,,,97 MITCHELL AVENUE,HARTLEY WINTNEY,HOOK,,ENGLAND,RG27 8HG,Private Limited Company,Active,United Kingdom,,15-02-2022,28,2,15-11-2023,,NO ACCOUNTS FILED,15-03-2023,,0,0,0,0,46420 - Wholesale of clothing and footwear,49410 - Freight transport by road,,,0,0,http://business.data.gov.uk/id/company/13918444,,,,,,,,,,,,,,,,,,,,,28-02-2023,
04200658 LIMITED,4200658,,,LEONARD CURTIS HOUSE ELMS SQUARE,BURY NEW ROAD,WHITEFIELD,,,M45 7TA,Private Limited Company,Liquidation,United Kingdom,,17-04-2001,31,3,31-03-2021,31-03-2019,TOTAL EXEMPTION FULL,15-05-2017,17-04-2016,3,0,0,3,46420 - Wholesale of clothing and footwear,,,,0,0,http://business.data.gov.uk/id/company/04200658,21-02-2022,HUDSON BAY LIMITED,,,,,,,,,,,,,,,,,,,02-08-2020,21-06-2019
045 LIMITED,13706736,,,"FLAT 16, FININGS COURT",THE MALTINGS,BURTON-ON-TRENT,STAFFORDSHIRE,ENGLAND,DE14 3TZ,Private Limited Company,Active,United Kingdom,,27-10-2021,31,10,27-07-2023,,NO ACCOUNTS FILED,24-11-2022,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/13706736,,,,,,,,,,,,,,,,,,,,,09-11-2023,26-10-2022
04864102 LIMITED,4864102,,,1 COLLETON CRESCENT,EXETER,DEVON,,,EX2 4DG,Private Limited Company,Liquidation,United Kingdom,,12-08-2003,31,12,31-10-2008,31-12-2006,TOTAL EXEMPTION SMALL,09-09-2008,12-08-2007,1,1,0,0,7031 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/04864102,,,,,,,,,,,,,,,,,,,,,26-08-2016,
05834899 LIMITED,5834899,,,3 COVENTRY INNOVATION VILLAGE,CHEETAH ROAD,COVENTRY,,ENGLAND,CV1 2TL,Private Limited Company,Liquidation,United Kingdom,,01-06-2006,31,1,31-10-2016,31-01-2015,TOTAL EXEMPTION SMALL,29-06-2016,01-06-2015,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/05834899,18-07-2019,ADVANCED CONSTRUCTION TECHNOLOGIES (UK) LIMITED,,,,,,,,,,,,,,,,,,,15-06-2017,
07046691 LIMITED,13572547,,,22 SEPTIMUS DRIVE,HIGHWOODS,COLCHESTER,,ENGLAND,CO4 9ET,Private Limited Company,Active - Proposal to Strike off,United Kingdom,,18-08-2021,31,8,18-05-2023,,NO ACCOUNTS FILED,15-09-2022,,0,0,0,0,85421 - First-degree level higher education,,,,0,0,http://business.data.gov.uk/id/company/13572547,,,,,,,,,,,,,,,,,,,,,31-08-2022,
07181364 LTD,7181364,,,48 NUTFIELD ROAD,MERSTHAM,REDHILL,SURREY,,RH1 3EP,Private Limited Company,Liquidation,United Kingdom,,08-03-2010,31,12,30-09-2016,31-12-2014,TOTAL EXEMPTION SMALL,05-04-2017,08-03-2016,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/07181364,23-02-2018,PIP (UK) LTD,,,,,,,,,,,,,,,,,,,22-03-2017,
07268358 LTD,7268358,,,LYNTON HOUSE 7-12,TAVISTOCK SQUARE,LONDON,,,WC1H 9LT,Private Limited Company,Liquidation,United Kingdom,,28-05-2010,29,5,28-02-2015,31-05-2013,TOTAL EXEMPTION SMALL,25-06-2015,28-05-2014,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/07268358,17-02-2020,ECOHOUSE DEVELOPMENTS LTD,,,,,,,,,,,,,,,,,,,11-06-2017,
07819132 LTD,7819132,,,TWELVE QUAYS HOUSE,EGERTON WHARF,WIRRAL,,UNITED KINGDOM,CH41 1LD,Private Limited Company,Active,United Kingdom,,21-10-2011,31,10,31-07-2023,31-10-2021,DORMANT,18-11-2016,21-10-2015,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/07819132,03-12-2019,WHITE INVESTMENT LTD,04-11-2014,SOUTH CONSTRUCTION LTD,,,,,,,,,,,,,,,,,04-11-2023,21-10-2022
08000 HEALTH LIMITED,6616307,,,BURY LODGE,BURY ROAD,STOWMARKET,SUFFOLK,,IP14 1JA,Private Limited Company,Active,United Kingdom,,11-06-2008,31,8,31-05-2023,31-08-2021,MICRO ENTITY,09-07-2017,11-06-2016,0,0,0,0,85590 - Other education n.e.c.,86210 - General medical practice activities,,,0,0,http://business.data.gov.uk/id/company/06616307,,,,,,,,,,,,,,,,,,,,,25-06-2023,11-06-2022
08401794 LIMITED,8401794,,,263B WICKERSLEY ROAD,,ROTHERHAM,SOUTH YORKSHIRE,UNITED KINGDOM,S60 4JR,Private Limited Company,Active,United Kingdom,,13-02-2013,28,2,30-11-2022,28-02-2021,DORMANT,13-03-2017,13-02-2016,0,0,0,0,86230 - Dental practice activities,,,,0,0,http://business.data.gov.uk/id/company/08401794,15-04-2016,DENTAL LAW PARTNERSHIP LIMITED,,,,,,,,,,,,,,,,,,,27-02-2023,13-02-2022
09113038 LTD,9113038,,,APARTMENT 180 LATITUDE,155 BROMSGROVE STREET,BIRMINGHAM,WEST MIDLANDS,ENGLAND,B5 6AB,Private Limited Company,Active,United Kingdom,,02-07-2014,31,7,30-04-2023,31-07-2021,DORMANT,21-07-2017,23-06-2016,0,0,0,0,"46330 - Wholesale of dairy products, eggs and edible oils and fats",,,,0,0,http://business.data.gov.uk/id/company/09113038,28-03-2022,APTAMIL LIMITED,,,,,,,,,,,,,,,,,,,30-08-2023,16-08-2022
0924 INC. LTD,13645351,,,5 BRAYFORD SQUARE,,LONDON,,UNITED KINGDOM,E1 0SG,Private Limited Company,Active,United Kingdom,,27-09-2021,30,9,27-06-2023,,NO ACCOUNTS FILED,25-10-2022,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/13645351,,,,,,,,,,,,,,,,,,,,,10-10-2023,26-09-2022
0FFSET TRAINING SOLUTIONS LIMITED,12604852,,,5 THE QUADRANT,,COVENTRY,,UNITED KINGDOM,CV1 2EL,Private Limited Company,Active,United Kingdom,,15-05-2020,31,3,31-12-2022,31-03-2021,TOTAL EXEMPTION FULL,12-06-2021,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12604852,,,,,,,,,,,,,,,,,,,,,28-05-2023,14-05-2022
1 & 1 PROVISIONS LIMITED,8968725,,,31 STALLARD STREET,,TROWBRIDGE,WILTSHIRE,,BA14 9AA,Private Limited Company,Active,United Kingdom,,31-03-2014,28,9,28-06-2023,30-09-2021,TOTAL EXEMPTION FULL,28-04-2017,31-03-2016,0,0,0,0,46320 - Wholesale of meat and meat products,,,,0,0,http://business.data.gov.uk/id/company/08968725,,,,,,,,,,,,,,,,,,,,,14-04-2023,31-03-2022
1 A FOR SECURITY LTD,9589011,,,UNIT 301 BOW BUSINESS CENTRE,153-159 BOW ROAD,LONDON,,ENGLAND,E3 2SE,Private Limited Company,Active,United Kingdom,,13-05-2015,30,4,31-01-2023,30-04-2021,MICRO ENTITY,10-06-2017,13-05-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/09589011,28-07-2022,1A4 SECURITY LTD,03-03-2016,AYDIN TRAINING LTD,,,,,,,,,,,,,,,,,13-10-2023,29-09-2022
1 ABILITY ESTATE AGENTS LIMITED,10766869,,,18 PILGRIMAGE STREET,,LONDON,,ENGLAND,SE1 4LL,Private Limited Company,Active,United Kingdom,,12-05-2017,30,6,31-03-2023,30-06-2021,TOTAL EXEMPTION FULL,09-06-2018,,0,0,0,0,68310 - Real estate agencies,68320 - Management of real estate on a fee or contract basis,,,0,0,http://business.data.gov.uk/id/company/10766869,06-06-2017,ABILITY RESIDENTIAL LTD,,,,,,,,,,,,,,,,,,,03-03-2023,17-02-2022
1 ACE SECURITY LTD,7509927,,,182-184 HIGH STREET NORTH,OFFICE 1323,LONDON,,ENGLAND,E6 2JA,Private Limited Company,Active,United Kingdom,,31-01-2011,31,1,31-10-2023,31-01-2022,DORMANT,28-02-2017,31-01-2016,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/07509927,,,,,,,,,,,,,,,,,,,,,14-02-2023,31-01-2022
1 ACE TRAINING LIMITED,12891037,,,"703, 7TH FLOOR",252-262 ROMFORD ROAD,LONDON,,ENGLAND,E7 9HZ,Private Limited Company,Active,United Kingdom,,21-09-2020,30,9,30-06-2023,30-09-2021,MICRO ENTITY,19-10-2021,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/12891037,28-09-2020,1 ACE SECURITY TRAINING LIMITED,,,,,,,,,,,,,,,,,,,04-10-2023,20-09-2022
1 AGENT LONDON LTD,13132305,,,86-90 PAUL STREET,,LONDON,ENGLAND,UNITED KINGDOM,EC2A 4NE,Private Limited Company,Active,United Kingdom,,13-01-2021,31,1,13-01-2023,,NO ACCOUNTS FILED,10-02-2022,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/13132305,,,,,,,,,,,,,,,,,,,,,26-01-2023,12-01-2022
1 AGENT LTD,SC518341,,,62 TELFORD GARDENS,,INVERNESS,,SCOTLAND,IV3 5LQ,Private Limited Company,Active,United Kingdom,,20-10-2015,31,10,31-10-2022,31-10-2020,MICRO ENTITY,17-11-2016,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/SC518341,,,,,,,,,,,,,,,,,,,,,02-11-2022,19-10-2021
1 ALLIANCE HEALTHCARE LTD,13793985,,,111 SANDHURST ROAD,,LONDON,,ENGLAND,NW9 9LJ,Private Limited Company,Active,United Kingdom,,10-12-2021,31,12,10-09-2023,,NO ACCOUNTS FILED,07-01-2023,,0,0,0,0,86210 - General medical practice activities,,,,0,0,http://business.data.gov.uk/id/company/13793985,,,,,,,,,,,,,,,,,,,,,23-12-2022,
1 ALS LIMITED,10405429,,,50 WHITTON WALK,,LONDON,,ENGLAND,E3 2AF,Private Limited Company,Active,United Kingdom,,01-10-2016,31,10,31-07-2023,31-10-2021,MICRO ENTITY,29-10-2017,,0,0,0,0,85590 - Other education n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/10405429,,,,,,,,,,,,,,,,,,,,,14-10-2023,30-09-2022
1 CLICK LEARNING LTD,12749223,,,UNIT 4 MILESTONE COURT STANNINGLEY,PUDSEY,LEEDS,,UNITED KINGDOM,LS28 6HE,Private Limited Company,Active,United Kingdom,,16-07-2020,31,7,30-04-2023,31-07-2021,MICRO ENTITY,13-08-2021,,0,0,0,0,85310 - General secondary education,,,,0,0,http://business.data.gov.uk/id/company/12749223,,,,,,,,,,,,,,,,,,,,,29-07-2023,15-07-2022
1 CLICK MOVE MCR LIMITED,10942248,,,CAPITAL HOUSE 272 MANCHESTER ROAD,DROYLSDEN,MANCHESTER,,UNITED KINGDOM,M43 6PW,Private Limited Company,Active,United Kingdom,,01-09-2017,30,9,30-06-2024,30-09-2022,DORMANT,29-09-2018,,0,0,0,0,68310 - Real estate agencies,,,,0,0,http://business.data.gov.uk/id/company/10942248,,,,,,,,,,,,,,,,,,,,,14-09-2023,31-08-2022
